unknown,accession_number,size
1,SRR1355492,2176630304
1,SRR1442571,2218491104
1,SRR1397292,2251782752
1,SRR1452824,2347750688
1,SRR1448162,2350705568
1,SRR1408161,2351066720
1,SRR1095792,2354678240
1,SRR1394755,2468047136
1,SRR1364893,2545235168
1,SRR1436882,2636311136
1,SRR1445218,2671178720
1,SRR1319262,2690057120
1,SRR1343859,2713761824
1,SRR1333891,2728240736
1,SRR1373858,2730112160
1,SRR1409305,2739370784
1,SRR1338384,2742030176
1,SRR2166920,2773351904
1,SRR1391639,2783858144
1,SRR1329811,2785237088
1,SRR1470336,2812192160
1,SRR1367069,2816164832
1,SRR1452164,2847979040
1,SRR1343257,2848668512
1,SRR1343879,2853363488
1,SRR1354553,2876772704
1,SRR1309425,2889084704
1,SRR1322900,2891579936
1,SRR1389278,2898343328
1,SRR1446354,2920504928
1,SRR1444348,2961840416
1,SRR1385389,2977534112
1,SRR1447082,2977928096
1,SRR1308357,3071761952
1,SRR1487890,3081841376
1,SRR1339296,3084533600
1,SRR1467633,3115001696
1,SRR1471157,3117398432
1,SRR1354225,3118022240
1,SRR1380501,3138509408
1,SRR1443525,3139461536
1,SRR1376579,3178630112
1,SRR1334055,3179188256
1,SRR1326040,3179779232
1,SRR1419638,3185688992
1,SRR1381973,3193437344
1,SRR1359027,3194684960
1,SRR1441701,3241634720
1,SRR1361612,3243801632
1,SRR1347042,3250006880
1,SRR1341302,3252567776
1,SRR809853,3259101344
1,SRR1339236,3261990560
1,SRR1341521,3325881632
1,SRR1308696,3326603936
1,SRR613186,3343775072
1,SRR1452077,3363408608
1,SRR1354035,3367184288
1,SRR1309920,3386095520
1,SRR1431326,3417285920
1,SRR1323215,3419748320
1,SRR1454785,3422670368
1,SRR1318372,3446112416
1,SRR1324025,3491716064
1,SRR1388873,3558102368
1,SRR1396270,3589292768
1,SRR1415215,3597336608
1,SRR1420169,3668385056
1,SRR1338055,3726957344
1,SRR2167953,3779455712
1,SRR1487509,3860025440
1,SRR1340641,3864392096
1,SRR1336930,3906187232
1,SRR613939,4007375456
1,SRR1339413,4031441312
1,SRR1357805,4077668768
1,SRR1376316,4116115040
1,SRR1455722,4203480992
1,SRR1328715,4216022816
1,SRR1486949,4241270624
1,SRR602271,4277681312
1,SRR815825,4513349408
1,SRR1410823,4621596512
1,SRR1410532,4636403744
1,SRR1319461,4829652896
1,SRR614755,4833822560
1,SRR818469,5005599584
1,SRR1326343,5062333280
1,SRR2165427,5112599072
1,SRR1480611,5119493792
1,SRR1472462,5152457120
1,SRR1348531,5246520800
1,SRR1322816,5299577312
1,SRR819534,5344786976
1,SRR599281,5370133280
1,SRR819318,5436421088
1,SRR1348202,5468563616
1,SRR1444083,5689522976
1,SRR1416955,5725769504
1,SRR1307223,5764084448
1,SRR2165424,5983664864
1,SRR1453456,6398103200
1,SRR2166167,6751014368
1,SRR604262,7650775328
1,SRR604677,10570196768
1,SRR3485018,29313952736
1,SRR3499587,33735306848
1,SRR3484962,37868724320
1,SRR3404019,39731776160
1,SRR3480644,48486067808
1,SRR2165893,53465073440
1,SRR2165161,61201507424
1,SRR2157426,62744644256
1,SRR2164888,77715412448
