accession_number,size
SRR2135402,40908704
SRR1376450,1748533856
SRR1460337,1795713440
SRR1431823,2034073760
SRR1407044,2164318304
SRR1413307,2185888928
SRR1376741,2193144800
SRR1469390,2260811552
SRR1459980,2291640800
SRR1432958,2315969312
SRR1388459,2381239328
SRR1071105,2461349408
SRR1080790,2470575200
SRR1469662,2527374560
SRR1433493,2662937888
SRR1348929,2666155424
SRR1444370,2679452384
SRR1100608,2683293728
SRR1353600,2691698720
SRR1406135,2694850592
SRR1315412,2727485600
SRR1416188,2737926176
SRR1338384,2742030176
SRR1381185,2744229920
SRR1385690,2756246432
SRR1340260,2762714336
SRR1447916,2795053856
SRR1331771,2802867872
SRR1325201,2808744800
SRR1486322,2831201888
SRR1400931,2835634208
SRR1445618,2857172000
SRR1478614,2865642656
SRR1475324,2926644512
SRR1386927,2993982944
SRR1358391,3079969952
SRR1330723,3083023328
SRR1389955,3097173920
SRR1458643,3139822688
SRR1418473,3193141856
SRR1405147,3200299232
SRR1469062,3208572896
SRR1436468,3294756896
SRR1397720,3331594400
SRR1318089,3340885856
SRR1443308,3354937952
SRR1419561,3356907872
SRR1445194,3364459232
SRR1097245,3456388832
SRR1429429,3477237152
SRR1454480,3561878048
SRR1418747,3568050464
SRR1406348,3581971232
SRR1476125,3614048096
SRR1339987,3658338464
SRR1418225,3767833184
SRR1081589,3769934432
SRR1078392,3877196576
SRR1456492,3899620832
SRR1479198,3908222816
SRR1404339,3949262816
SRR1473778,3982357472
SRR1416141,3990499808
SRR1382978,4020311264
SRR1432868,4051501664
SRR1328715,4216022816
SRR1376380,4410716576
SRR1321897,4453628000
SRR1429540,4603768736
SRR1356057,4638898976
SRR1416841,4829718560
