unknown,accession_number,size
1,SRR2135402,40908704
1,SRR1376450,1748533856
1,SRR1460337,1795713440
1,SRR1431823,2034073760
1,SRR1407044,2164318304
1,SRR1413307,2185888928
1,SRR1376741,2193144800
1,SRR1469390,2260811552
1,SRR1459980,2291640800
1,SRR1432958,2315969312
1,SRR1388459,2381239328
1,SRR1071105,2461349408
1,SRR1080790,2470575200
1,SRR1469662,2527374560
1,SRR1433493,2662937888
1,SRR1348929,2666155424
1,SRR1444370,2679452384
1,SRR1100608,2683293728
1,SRR1353600,2691698720
1,SRR1406135,2694850592
1,SRR1315412,2727485600
1,SRR1416188,2737926176
1,SRR1338384,2742030176
1,SRR1381185,2744229920
1,SRR1385690,2756246432
1,SRR1340260,2762714336
1,SRR1447916,2795053856
1,SRR1331771,2802867872
1,SRR1325201,2808744800
1,SRR1486322,2831201888
1,SRR1400931,2835634208
1,SRR1445618,2857172000
1,SRR1478614,2865642656
1,SRR1475324,2926644512
1,SRR1386927,2993982944
1,SRR1358391,3079969952
1,SRR1330723,3083023328
1,SRR1389955,3097173920
1,SRR1458643,3139822688
1,SRR1418473,3193141856
1,SRR1405147,3200299232
1,SRR1469062,3208572896
1,SRR1436468,3294756896
1,SRR1397720,3331594400
1,SRR1318089,3340885856
1,SRR1443308,3354937952
1,SRR1419561,3356907872
1,SRR1445194,3364459232
1,SRR1097245,3456388832
1,SRR1429429,3477237152
1,SRR1454480,3561878048
1,SRR1418747,3568050464
1,SRR1406348,3581971232
1,SRR1476125,3614048096
1,SRR1339987,3658338464
1,SRR1418225,3767833184
1,SRR1081589,3769934432
1,SRR1078392,3877196576
1,SRR1456492,3899620832
1,SRR1479198,3908222816
1,SRR1404339,3949262816
1,SRR1473778,3982357472
1,SRR1416141,3990499808
1,SRR1382978,4020311264
1,SRR1432868,4051501664
1,SRR1328715,4216022816
1,SRR1376380,4410716576
1,SRR1321897,4453628000
1,SRR1429540,4603768736
1,SRR1356057,4638898976
1,SRR1416841,4829718560
